Sample	Dog_PCA	Wolf_Dog_PCA
FlatCoatedRetriever04_9023	European_Dogs	European_Dogs
FlatCoatedRetriever05_23470	European_Dogs	European_Dogs
FlatCoatedRetriever06_25517	European_Dogs	European_Dogs
FlatCoatedRetriever07_25539	European_Dogs	European_Dogs
FlatCoatedRetriever08_28072	European_Dogs	European_Dogs
FlatCoatedRetriever09_28203	European_Dogs	European_Dogs
FlatCoatedRetriever10_30377	European_Dogs	European_Dogs
FlatCoatedRetriever11_30651	European_Dogs	European_Dogs
FlatCoatedRetriever12_31166	European_Dogs	European_Dogs
FlatCoatedRetriever13	European_Dogs	European_Dogs
FonniDog01_29859	European_Dogs	European_Dogs
FrenchBulldog01	European_Dogs	European_Dogs
FrenchBulldog02	European_Dogs	European_Dogs
FrenchBulldog03_14473	European_Dogs	European_Dogs
FrenchBulldog04_14477	European_Dogs	European_Dogs
FrenchBulldog05_16072	European_Dogs	European_Dogs
GL01.01	Arctic_Dogs	Arctic_Dogs
GL01.02	Arctic_Dogs	Arctic_Dogs
GL01.03	Arctic_Dogs	Arctic_Dogs
GL01.05	Arctic_Dogs	Arctic_Dogs
GL01.17	Arctic_Dogs	Arctic_Dogs
GL01.18	Arctic_Dogs	Arctic_Dogs
GL01.23	Arctic_Dogs	Arctic_Dogs
GL03.03	Arctic_Dogs	Arctic_Dogs
GL03.09	Arctic_Dogs	Arctic_Dogs
GL04.01	Arctic_Dogs	Arctic_Dogs
GL05.05	Arctic_Dogs	Arctic_Dogs
GL05.06	Arctic_Dogs	Arctic_Dogs
GL07.04	Arctic_Dogs	Arctic_Dogs
GL07.05	Arctic_Dogs	Arctic_Dogs
GL07.26	Arctic_Dogs	Arctic_Dogs
GL07.34	Arctic_Dogs	Arctic_Dogs
GL07.35	Arctic_Dogs	Arctic_Dogs
GL07.36	Arctic_Dogs	Arctic_Dogs
GL08.03	Arctic_Dogs	Arctic_Dogs
GL08.11	Arctic_Dogs	Arctic_Dogs
GL08.17	Arctic_Dogs	Arctic_Dogs
GL09.07	Arctic_Dogs	Arctic_Dogs
GL10.04	Arctic_Dogs	Arctic_Dogs
GL10.17	Arctic_Dogs	Arctic_Dogs
GL10.19	Arctic_Dogs	Arctic_Dogs
GL11.06	Arctic_Dogs	Arctic_Dogs
GL11.08	Arctic_Dogs	Arctic_Dogs
GL11.13	Arctic_Dogs	Arctic_Dogs
GL11.17	Arctic_Dogs	Arctic_Dogs
GL11.18	Arctic_Dogs	Arctic_Dogs
GL11.19	Arctic_Dogs	Arctic_Dogs
GL12.01	Arctic_Dogs	Arctic_Dogs
GL12.05	Arctic_Dogs	Arctic_Dogs
GL12.08	Arctic_Dogs	Arctic_Dogs
GL12.12	Arctic_Dogs	Arctic_Dogs
GL12.13	Arctic_Dogs	Arctic_Dogs
GL13.04	Arctic_Dogs	Arctic_Dogs
GL13.07	Arctic_Dogs	Arctic_Dogs
GL13.09	Arctic_Dogs	Arctic_Dogs
GL14.06	Arctic_Dogs	Arctic_Dogs
GL14.07	Arctic_Dogs	Arctic_Dogs
GL14.08	Arctic_Dogs	Arctic_Dogs
GL14.12	Arctic_Dogs	Arctic_Dogs
GL14.17	Arctic_Dogs	Arctic_Dogs
GL15.04	Arctic_Dogs	Arctic_Dogs
